,Identifier,Start date,End date,Number of deaths,Incident,State
52,IBD031995,2025-03-22,2025-03-22,1,Herders Kill Farmer,(FCT) Abuja
53,IBD031990,2025-03-22,2025-03-22,1,Assailants vs Security Man,Bauchi
54,IBD032011,2025-03-22,2025-03-22,1,POS Operator,Adamawa
55,IBD032021,2025-03-22,2025-03-22,2,Generator Fume Kill 2,Rivers
56,IBD031992,2025-03-21,2025-03-21,2,Communal Clash,Osun
57,IBD031996,2025-03-21,2025-03-21,1,Hoodlums vs Worshippers,Kaduna
58,IBD032040,2025-03-21,2025-03-21,1,Man Dies in Hotel,Delta
59,IBD032038,2025-03-21,2025-03-21,1,Domestic Violence,Edo
60,IBD032031,2025-03-21,2025-03-21,5,Police vs Kidnappers,Delta
61,IBD031986,2025-03-20,2025-03-20,3,Gunmen Attack,Anambra
62,IBD032004,2025-03-20,2025-03-20,2,Security Force vs Lakurawa,Kebbi
63,IBD032047,2025-03-20,2025-03-20,16,Northern Hunters,Edo
64,IBD031981,2025-03-20,2025-03-20,1,Miyetti Allah Chairman,Plateau
65,IBD032013,2025-03-20,2025-03-20,1,Kidnap Victim,Bauchi
66,IBD031980,2025-03-19,2025-03-19,5,Herdsmen Attack,Benue
67,IBD031982,2025-03-19,2025-03-19,1,Rape Victim,Delta
68,IBD032002,2025-03-19,2025-03-19,1,Inferno,Yobe
69,IBD031994,2025-03-19,2025-03-19,10,Banditary,Katsina
70,IBD031971,2025-03-19,2025-03-19,1,Domestic Violence,Lagos
71,IBD031979,2025-03-19,2025-03-19,1,Assailants vs Security Guard,Ebonyi
72,IBD031972,2025-03-19,2025-03-19,10,Explosion/Auto Crash,(FCT) Abuja
73,IBD031975,2025-03-19,2025-03-19,10,Herders vs Farmers,Ondo
74,IBD031970,2025-03-18,2025-03-18,1,Auto Crash,Rivers
75,IBD031993,2025-03-18,2025-03-18,25,NAF vs Boko Haram,Borno
76,IBD031978,2025-03-18,2025-03-18,1,Rainstorm Kill 1,Ogun
77,IBD031974,2025-03-18,2025-03-18,7,Army vs Terrorist,Zamfara
78,IBD031977,2025-03-18,2025-03-19,12,Police vs Gunmen,Benue
79,IBD031969,2025-03-17,2025-03-17,2,Communal Clash,Ebonyi
80,IBD031973,2025-03-17,2025-03-17,3,Army vs Terrorist,Katsina
81,IBD031991,2025-03-17,2025-03-17,10,NAF vs Boko Haram,Borno
82,IBD031988,2025-03-17,2025-03-17,1,Lawyer vs Student,Imo
83,IBD032003,2025-03-17,2025-03-17,1,Electrocution,Lagos
84,IBD031976,2025-03-17,2025-03-17,2,Herdsmen Attack,Benue
85,IBD032036,2025-03-16,2025-03-16,40,NAF vs Terrorists,Borno
86,IBD032005,2025-03-16,2025-03-16,1,Explosion,Rivers
87,IBD031955,2025-03-16,2025-03-16,7,Auto Crash,Imo
88,IBD031997,2025-03-16,2025-03-16,1,Boy Suffocates,Lagos
89,IBD032015,2025-03-16,2025-03-16,2,Domestic Violence,Edo
90,IBD031952,2025-03-16,2025-03-16,1,Armed Robbers vs Watchman,Katsina
91,IBD032023,2025-03-16,2025-03-16,2,Auto Crash,Kaduna
92,IBD031959,2025-03-16,2025-03-16,1,Gunmen vs Fulani Leader,Kwara
93,IBD015011,2025-03-15,2025-03-15,1,Mob Attack,Lagos
94,IBD031949,2025-03-15,2025-03-15,6,Auto Crash,Anambra
95,IBD031958,2025-03-15,2025-03-15,1,Assailants vs Bride,Jigawa
96,IBD031950,2025-03-15,2025-03-15,12,Army vs Bandits,Katsina
97,IBD031953,2025-03-15,2025-03-15,12,Army vs Bandits,Katsina
98,IBD032022,2025-03-15,2025-03-15,1,Mob vs Armed Robber,Lagos
99,IBD031942,2025-03-15,2025-03-15,2,Communal Clash,Cross River
100,IBD031965,2025-03-15,2025-03-15,4,Cult Clash,Ogun
101,IBD031945,2025-03-14,2025-03-14,6,Police vs Kidnappers,Abia
102,IBD031967,2025-03-14,2025-03-14,5,Gunmen vs Herders,Enugu
103,IBD031946,2025-03-14,2025-03-14,1,Police vs Kidnapper,Nasarawa
104,IBD031948,2025-03-14,2025-03-14,1,Drowns,Rivers
105,IBD031968,2025-03-14,2025-03-14,1,Domestic Violence,Abia
106,IBD031943,2025-03-13,2025-03-13,22,NAF vs Bandit,Katsina
107,IBD031944,2025-03-13,2025-03-13,1,Catholic Seminarian,Edo
108,IBD031956,2025-12-03,2025-12-03,1,Farmer,Benue
109,IBD031947,2025-12-03,2025-12-03,2,Soldiers vs Kidnappers,Plateau
110,IBD031938,2025-12-03,2025-12-03,1,Auto Crash,Edo
111,IBD031954,2025-11-03,2025-11-03,2,Vigilantes,(FCT) Abuja
112,IBD032024,2025-11-03,2025-11-03,1,Kidnappers vs Village Head,Kaduna
113,IBD031929,2025-11-03,2025-11-03,3,Auto Crash/Explosion,Lagos
114,IBD031928,2025-11-03,2025-11-03,4,Herders Attack,Benue
115,IBD031937,2025-11-03,2025-11-03,3,Army vs Terrorist,Kaduna
116,IBD031957,2025-10-03,2025-10-03,3,Bandits vs Worshippers,Nasarawa
117,IBD031909,2025-10-03,2025-10-03,1,Domestic Violence,Akwa Ibom
118,IBD031924,2025-10-03,2025-10-03,1,Extrajudicial Killing,Niger
119,IBD031927,2025-10-03,2025-10-03,1,Extrajudicial Killing,Niger
120,IBD031904,2025-10-03,2025-10-03,1,Auxiliary Nurse ,Delta
121,IBD031926,2025-10-03,2025-10-03,1,Extrajudicial Killings,Niger
122,IBD031916,2025-10-03,2025-10-03,1,Police vs Kidnappers,Akwa Ibom
123,IBD031925,2025-10-03,2025-10-03,11,Farmers vs Herders,Nasarawa
124,IBD031930,2025-10-03,2025-10-03,1,Assailant vs Man,Lagos
125,IBD031961,2025-09-03,2025-09-03,4,Police vs Kidnappers,Delta
126,IBD031911,2025-09-03,2025-09-03,13,Lakurawa Bandits Kills 11,Kebbi
127,IBD031910,2025-09-03,2025-09-03,17,Suspected Herders Kill 20,Ondo
128,IBD031915,2025-09-03,2025-09-03,1,Customs Operavtives vs Smugglers,Ogun
129,IBD031912,2025-09-03,2025-09-03,8,Auto Crash,Edo
130,IBD031917,2025-09-03,2025-09-03,4,Auto Crash,Ogun
131,IBD031923,2025-09-03,2025-09-03,1,Auto Crash,(FCT) Abuja
132,IBD031921,2025-09-03,2025-09-03,1,Kidnappers vs Woman,Kaduna
133,IBD031934,2025-08-03,2025-08-03,1,Murder,Niger
134,IBD031935,2025-08-03,2025-08-03,1,Drown,Niger
135,IBD031919,2025-08-03,2025-08-03,1,Palm Tree Kills Man,Ogun
136,IBD031906,2025-08-03,2025-08-03,1,Fight,Lagos
137,IBD031922,2025-08-03,2025-08-03,1,Man vs Friend,(FCT) Abuja
138,IBD031905,2025-08-03,2025-08-03,1,Cultist vs DJ,Lagos
139,IBD031931,2025-08-03,2025-08-03,1,Boko Haram vs Vigilante,Yobe
140,IBD031914,2025-08-03,2025-08-03,1,Gunmen vs APC Council Chairman,Lagos
141,IBD031900,2025-08-03,2025-08-03,1,Communal Clash,Niger
142,IBD031897,2025-08-03,2025-08-03,1,Miyetti Allah Chairman,Kwara
143,IBD031951,2025-07-03,2025-07-03,1,Boy Beheaded,Adamawa
144,IBD031932,2025-07-03,2025-07-03,2,Herdsmen Attack,Kogi
145,IBD031899,2025-07-03,2025-07-03,5,Auto Crash,Abia
146,IBD031898,2025-07-03,2025-07-03,1,Ritual Killing,Edo
147,IBD031902,2025-07-03,2025-08-03,15,Herdsmen Attack,Benue
148,IBD031885,2025-06-03,2025-06-03,5,Medical Negligence,Benue
149,IBD031876,2025-06-03,2025-06-03,1,Electrocution,Ogun
150,IBD031940,2025-06-03,2025-06-03,1,Domestic Violence,Ogun
151,IBD031895,2025-06-03,2025-06-03,1,Security Operatives vs Terrorist,Kebbi
152,IBD031882,2025-05-03,2025-05-03,3,Building Collapse,Lagos
153,IBD031891,2025-05-03,2025-05-03,12,Security Operatives vs Bandits,Zamfara
154,IBD031892,2025-05-03,2025-05-03,7,Auto Crash/ Explosion,Niger
155,IBD031998,2025-05-03,2025-05-03,1,Drowns,(FCT) Abuja
156,IBD031880,2025-05-03,2025-05-03,1,Gunmen vs Cleric,Kaduna
157,IBD031894,2025-05-03,2025-05-03,2,Auto Crash,Bayelsa
158,IBD031871,2025-04-03,2025-04-03,2,Explosion,Oyo
159,IBD032053,2025-04-03,2025-04-03,1,Auto Crash,Lagos
160,IBD031869,2025-04-03,2025-04-03,1,Police vs Herder,Edo
161,IBD031870,2025-04-03,2025-04-03,17,Auto Crash,Ogun
162,IBD031865,2025-04-03,2025-04-03,2,Gunmen Attack,Abia
163,IBD031881,2025-04-03,2025-04-03,10,Auto Crash,Anambra
164,IBD031848,2025-04-03,2025-04-03,4,Bridge Collapse,Akwa Ibom
165,IBD031873,2025-04-03,2025-04-03,1,Gunmen vs Immigration Officer,(FCT) Abuja
166,IBD031889,2025-04-03,2025-04-03,1,Man Dies Working on Farm,(FCT) Abuja
167,IBD031884,2025-04-03,2025-04-03,14,Police vs Kidnappers,(FCT) Abuja
168,IBD031879,2025-03-03,2025-03-03,4,Auto Crash,Kogi
169,IBD031877,2025-03-03,2025-03-03,2,Gunmen Attack,Benue
170,IBD031890,2025-03-03,2025-03-03,2,Boko Harm Kill Police Officer Children,Borno
171,IBD031868,2025-03-03,2025-03-03,1,Gunmen vs Site Engineer,Edo
172,IBD031867,2025-03-03,2025-03-03,1,Drown,(FCT) Abuja
173,IBD031893,2025-03-03,2025-03-03,1,Assailant vs Man,Ogun
174,IBD031936,2025-03-03,2025-03-03,1,Bandit Leader,(FCT) Abuja
175,IBD031941,2025-02-03,2025-02-03,1,Woman Killed,Bauchi
176,IBD031888,2025-02-03,2025-02-03,1,Herders Kill Man,(FCT) Abuja
177,IBD031858,2025-02-03,2025-02-03,1,Gunmen Kill One,Gombe
178,IBD031874,2025-02-03,2025-02-03,1,Community leader Killed,Anambra
179,IBD031866,2025-02-03,2025-02-03,1,Teenager,Ogun
180,IBD031861,2025-02-03,2025-02-03,1,Herdsmen vs Vigilante,Delta
181,IBD031883,2025-01-03,2025-01-03,1,Drug Addict Kill Phone Charger,Ogun
182,IBD031853,2025-01-03,2025-01-03,1,Domestic Violence,Bauchi
183,IBD031854,2025-01-03,2025-01-03,6,Herdsmen vs Farmers,Benue
184,IBD031939,2025-01-03,2025-01-03,1,Policeman vs Okada Riders,Plateau
185,IBD031659,2025-01-03,2025-01-03,2,Police vs Kidnappers,Kwara
186,IBD031855,2025-01-03,2025-01-03,1,Gunmen vs Businessman,Ondo
187,IBD031913,2025-01-03,2025-01-03,2,Female Corpses,Delta
188,IBD031852,2025-01-03,2025-01-03,12,Auto Crash,Edo
189,IBD031857,2025-01-03,2025-01-03,1,Gunmen vs Man,Zamfara
190,IBD031864,2025-01-03,2025-01-03,15,Soldiers vs Boko Haram,Borno
191,IBD031860,2025-02-28,2025-02-28,2,Cult Clash,Delta
192,IBD032001,2025-02-28,2025-02-28,1,Inferno,Yobe
193,IBD031856,2025-02-28,2025-02-28,1,Herdsmen Attack,Delta
194,IBD031808,2025-02-28,2025-02-28,1,Auto Crash,Kwara
195,IBD031887,2025-02-28,2025-02-28,1,Domestic Violence,Bauchi
196,IBD031862,2025-02-27,2025-02-27,2,Banditry,Zamfara
197,IBD031839,2025-02-27,2025-02-27,6,Auto Crash,Enugu
198,IBD031846,2025-02-27,2025-02-27,2,Herdsmen Attack,Edo
199,IBD031851,2025-02-27,2025-02-27,17,Banditry,Katsina
200,IBD031847,2025-02-27,2025-02-27,1,Soldier Kill Man,Akwa Ibom
201,IBD031886,2025-02-27,2025-02-27,1,Gunmen Attack,Ogun
202,IBD031901,2025-02-26,2025-02-26,1,Domestic Violence,Lagos
203,IBD031850,2025-02-26,2025-02-26,10,Bandits vs Farmers,Niger
204,IBD031844,2025-02-26,2025-02-26,1,Cult Attack,Bayelsa
205,IBD031837,2025-02-26,2025-02-26,7,Boko Haram Attack,Borno
206,IBD031843,2025-02-26,2025-02-26,1,NAF Officer Kill Man,Kaduna
207,IBD031840,2025-02-26,2025-02-26,1,Land Dispute,Delta
208,IBD031834,2025-02-25,2025-02-26,40,Boko Haram Attack,Adamawa
209,IBD031822,2025-02-25,2025-02-25,1,Kidnappers Kill Hunter,Oyo
210,IBD031838,2025-02-25,2025-02-25,2,Boko Haram/ISWAP Landmine Kills 2,Borno
211,IBD031833,2025-02-25,2025-02-25,2,Kidnappers vs Police Officers,Plateau
212,IBD031826,2025-02-25,2025-02-25,10,Auto Crash,Yobe
213,IBD031828,2025-02-25,2025-02-25,3,Auto Crash,Sokoto
214,IBD031812,2025-02-24,2025-02-24,9,Auto Crash,Ogun
215,IBD031824,2025-02-24,2025-02-24,2,Auto Crash,Lagos
216,IBD031830,2025-02-24,2025-02-24,5,Boat Mishap,Delta
217,IBD031823,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi
218,IBD031842,2025-02-24,2025-02-24,1,Auto Crash,Ogun
219,IBD031832,2025-02-24,2025-02-24,2,Auto Crash,Bauchi
220,IBD031821,2025-02-24,2025-02-24,1,Auto Crash,Lagos
221,IBD031845,2025-02-24,2025-02-24,1,Police Kill Man,Enugu
222,IBD031836,2025-02-24,2025-02-24,1,Herdsmen vs Vigilante Commander,Edo
223,IBD031813,2025-02-24,2025-02-24,2,Herders vs Farmers,Edo
224,IBD031875,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi
225,IBD031820,2025-02-23,2025-02-23,1,Security Operatives vs Artisan,Edo
226,IBD031819,2025-02-23,2025-02-23,1,Security Operatives Kills 1,Katsina
227,IBD031816,2025-02-23,2025-02-23,1,Man vs Friend,Niger
228,IBD031907,2025-02-23,2025-02-23,1,Revenue Collector vs Truck Driver,Edo
229,IBD031825,2025-02-23,2025-02-23,2,Auto Crash,Oyo
230,IBD031817,2025-02-23,2025-02-23,1,Student Drowns,Bayelsa
231,IBD031841,2025-02-22,2025-02-22,4,Fish Poison,Taraba
232,IBD031800,2025-02-22,2025-02-22,1,Man Drowns,Ogun
233,IBD031806,2025-02-22,2025-02-22,23,NAF Kill Bandits,Zamfara
234,IBD031804,2025-02-22,2025-02-22,4,Car Accident,Jigawa
235,IBD031835,2025-02-22,2025-02-22,1,Ritual Killing,Edo
236,IBD031799,2025-02-22,2025-02-22,1,Auto Crash,Delta
237,IBD031803,2025-02-22,2025-02-22,1,Farmer,Ogun
238,IBD031796,2025-02-22,2025-02-22,1,Domestic Violence,Edo
239,IBD031795,2025-02-21,2025-02-21,1,Witchcraft Suspect,Borno
240,IBD031814,2025-02-21,2025-02-21,1,Banditry,Kaduna
241,IBD031798,2025-02-21,2025-02-21,13,Auto Crash,Niger
242,IBD031810,2025-02-21,2025-02-21,1,Motorcycle Thief,(FCT) Abuja
243,IBD031805,2025-02-21,2025-02-21,1,Boy Drowns,Ogun
244,IBD031863,2025-02-21,2025-02-21,1,Kidnappers Kills 1,Zamfara
245,IBD031818,2025-02-21,2025-02-21,1,Domestic Violence,Lagos
246,IBD031827,2025-02-21,2025-02-21,4,Security Operatives vs Bandits,Katsina
247,IBD031797,2025-02-20,2025-02-21,12,Communal Clash,Edo
248,IBD031793,2025-02-20,2025-02-20,1,Building Collapse,Yobe
249,IBD031802,2025-02-20,2025-02-20,4,Banditry,Niger
250,IBD031794,2025-02-20,2025-02-20,4,Police vs Kidnappers,Ogun
251,IBD031792,2025-02-20,2025-02-20,1,Fallen Mast,Edo
252,IBD031786,2025-02-19,2025-02-19,1,Banditry,Niger
253,IBD031811,2025-02-19,2025-02-19,3,Ritual/Domestic Violence,Abia
254,IBD031785,2025-02-18,2025-02-18,3,Explosion,Zamfara
255,IBD031768,2025-02-18,2025-02-18,2,Domestic Violence,Ekiti
256,IBD031782,2025-02-18,2025-02-18,1,Banditry,Zamfara
257,IBD031783,2025-02-18,2025-02-18,2,Kidnappers Attack,(FCT) Abuja
258,IBD031769,2025-02-18,2025-02-18,1,Communal Clash,Ebonyi
259,IBD031759,2025-02-17,2025-02-17,1,Political Crisis,Osun
260,IBD031757,2025-02-17,2025-02-17,2,Political Crisis,Osun
261,IBD031758,2025-02-17,2025-02-17,2,Political Crisis,Osun
262,IBD031781,2025-02-17,2025-02-17,10,Army vs Boko Haram,Borno
263,IBD031778,2025-02-17,2025-02-17,1,Assailants vs Student,Ondo
264,IBD031753,2025-02-17,2025-02-17,3,Gunmen Attack,Benue
265,IBD031755,2025-02-17,2025-02-17,1,Cult Clash,Delta
266,IBD031771,2025-02-16,2025-02-16,1,Auto Crash,Ogun
267,IBD031763,2025-02-16,2025-02-16,1,Hoodlums vs Motorcyclist,(FCT) Abuja
268,IBD031878,2025-02-16,2025-02-16,1,Extrajudicial Killing,Ondo
269,IBD031756,2025-02-16,2025-02-16,3,Inferno,Ondo
270,IBD031760,2025-02-16,2025-02-16,8,Auto Crash,Imo
271,IBD031766,2025-02-16,2025-02-16,1,Ritual Killing,Ogun
272,IBD031742,2025-02-16,2025-02-16,1,Security Operatives vs Armed Robber,Ogun
273,IBD031761,2025-02-16,2025-02-16,7,Auto Crash,Kogi
274,IBD031770,2025-02-16,2025-02-16,1,Kidnappers Attack,Imo
275,IBD031772,2025-02-16,2025-02-16,17,Auto Crash,Delta
276,IBD031767,2025-02-16,2025-02-16,1,Security Operatives vs Student,Kaduna
277,IBD031743,2025-02-15,2025-02-15,1,Mysterious Death,Ogun
278,IBD031749,2025-02-15,2025-02-15,1,Gunmen Attack,Kwara
279,IBD031751,2025-02-15,2025-02-15,1,Kidnapers vs Health Worker,Ondo
280,IBD031745,2025-02-15,2025-02-15,2,Mob vs Robbers,(FCT) Abuja
281,IBD031752,2025-02-15,2025-02-15,22,Herdsmen vs Farmers,Benue
282,IBD031750,2025-02-15,2025-02-15,4,Mob vs NDLEA Officer/ Auto Crash,Kaduna
283,IBD031849,2025-02-15,2025-02-15,1,Friends Murder Man,Lagos
284,IBD031744,2025-02-15,2025-02-15,1,Corpse Found,Kano
285,IBD031748,2025-02-15,2025-02-15,10,Army vs Villagers,Katsina
286,IBD031920,2025-02-15,2025-02-15,1,Domestic Violence,Cross River
287,IBD031960,2025-02-15,2025-02-15,7,Fire Incidents,Kano
288,IBD031737,2025-02-14,2025-02-14,4,Police vs Kidnappers,Kebbi
289,IBD031859,2025-02-14,2025-02-14,1,Domestic Violence,Ondo
290,IBD031740,2025-02-14,2025-02-14,1,Assailant vs Traditional Ruler,Abia
291,IBD031736,2025-02-14,2025-02-14,8,Auto Crash,Anambra
292,IBD031765,2025-02-14,2025-02-15,2,Cult Clash,Lagos
293,IBD031746,2025-02-14,2025-02-14,1,Extrajudicial Killing,Ondo
294,IBD031732,2025-02-13,2025-02-13,2,Kidnappers Set Ablaze,Delta
295,IBD031733,2025-02-13,2025-02-13,1,Auto Crash,Ogun
296,IBD031764,2025-02-13,2025-02-13,1,Cult Clash,Ogun
297,IBD031780,2025-02-13,2025-02-13,1,Man vs Friend,(FCT) Abuja
298,IBD031779,2025-02-13,2025-02-13,2,Extrajudicial Killing,Delta
299,IBD031734,2025-02-13,2025-02-13,23,Auto Crash,Kano
300,IBD031727,2025-12-02,2025-12-02,1,Auto Crash,Bauchi
301,IBD031728,2025-12-02,2025-12-02,3,Police vs Armed Robbers,(FCT) Abuja
302,IBD031741,2025-12-02,2025-12-02,1,Extrajudicial Killing,Lagos
303,IBD031729,2025-12-02,2025-12-02,1,Stab to Death,Rivers
304,IBD031829,2025-12-02,2025-12-02,2,Kidnappers Kill Two,Kogi
305,IBD031807,2025-11-02,2025-11-02,1,Extrajudicial Killing,Benue
306,IBD031713,2025-11-02,2025-11-02,1,Mob vs Thief,Akwa Ibom
307,IBD031726,2025-11-02,2025-11-02,3,Auto Crash,Taraba
308,IBD031738,2025-11-02,2025-11-02,1,Ritual Killing,Kwara
309,IBD031717,2025-10-02,2025-10-02,1,Bandits vs Traders,Katsina
310,IBD031714,2025-10-02,2025-10-02,1,Communal Clash,Akwa Ibom
311,IBD031762,2025-10-02,2025-10-02,1,Kidnap Victim,(FCT) Abuja
312,IBD031709,2025-10-02,2025-10-02,1,Auto Crash,Niger
313,IBD031720,2025-10-02,2025-10-02,1,Assailants vs Girl,Ekiti
314,IBD031721,2025-10-02,2025-10-02,1,Student Drowns,Benue
315,IBD031719,2025-09-02,2025-09-02,2,Gunmen vs Police Officer,Yobe
316,IBD031705,2025-09-02,2025-09-02,1,Gunmen Kill Pastor,Gombe
317,IBD031708,2025-09-02,2025-09-02,5,Auto Crash,Jigawa
318,IBD031704,2025-09-02,2025-09-02,1,Communal Clash,Abia
319,IBD031690,2025-09-02,2025-09-02,1,Police Kill Man,Rivers
320,IBD031747,2025-09-02,2025-09-02,3,Police vs IPOB/ESN,Imo
321,IBD031706,2025-09-02,2025-09-02,1,Herdsmen Kill Girl,Ekiti
322,IBD031703,2025-09-02,2025-09-02,4,Troops vs Bandits,Zamfara
323,IBD031692,2025-09-02,2025-09-02,20,Cult Clash,Rivers
324,IBD031701,2025-09-02,2025-09-02,4,Communal Clash,Cross River
325,IBD031702,2025-09-02,2025-09-02,1,Burglars vs Woman,Delta
326,IBD031693,2025-09-02,2025-09-02,1,Banditry,Sokoto
327,IBD031694,2025-09-02,2025-09-02,4,Cult Clash,Benue
328,IBD031707,2025-08-02,2025-08-02,1,Student Dies,Lagos
329,IBD031697,2025-08-02,2025-08-02,1,Auto Crash,Kwara
330,IBD031754,2025-08-02,2025-08-02,2,Police vs IPOB/ESN Imo,Imo
331,IBD031731,2025-07-02,2025-02-14,3,Cult Clashes,Abia
332,IBD031723,2025-07-02,2025-07-02,1,Extrajudicial Killing,Enugu
333,IBD031680,2025-07-02,2025-07-02,1,Drowns/Mysterious Death,Ondo
334,IBD031689,2025-07-02,2025-07-02,44,Soldiers vs Bandits,Zamfara
335,IBD031686,2025-07-02,2025-07-02,1,Domestic Violence,Anambra
336,IBD031710,2025-07-02,2025-07-02,1,Assailants vs Uber Driver,Lagos
337,IBD031716,2025-07-02,2025-07-02,12,Bandits vs Traders,Katsina
338,IBD031715,2025-06-02,2025-06-02,1,Teacher vs Student,Delta
339,IBD031963,2025-06-02,2025-06-02,1,Domestic Violence,Akwa Ibom
340,IBD031674,2025-06-02,2025-06-02,7,Cult Clash,Rivers
341,IBD031675,2025-06-02,2025-06-02,1,Gunmen Attack,Katsina
342,IBD031684,2025-06-02,2025-06-02,1,Lakurawa Kill 1,Kebbi
343,IBD031730,2025-06-02,2025-02-13,2,Cult Clashes,Abia
344,IBD031790,2025-06-02,2025-06-02,1,Stray Bullet,Delta
345,IBD031685,2025-06-02,2025-06-02,4,Troops vs Bandits,Zamfara
346,IBD031711,2025-06-02,2025-06-02,1,Domestic Violence,Akwa Ibom
347,IBD031679,2025-06-02,2025-06-02,1,Woman vs Neighbour,Rivers
348,IBD031687,2025-06-02,2025-06-02,1,Domestic Violence,Akwa Ibom
349,IBD031683,2025-06-02,2025-06-02,2,Bandits Attack,Katsina
350,IBD031696,2025-06-02,2025-06-02,1,Student vs Colleague,Nasarawa
351,IBD031962,2025-06-02,2025-06-02,1,Domestic Violence,Akwa Ibom
352,IBD031664,2025-05-02,2025-05-02,17,Inferno,Zamfara
353,IBD031695,2025-05-02,2025-05-02,1,Auto Crash,Lagos
354,IBD031700,2025-05-02,2025-05-02,1,Domestic Violence,Kano
355,IBD031663,2025-05-02,2025-05-02,1,Man vs Trader,(FCT) Abuja
356,IBD031725,2025-05-02,2025-05-02,1,Bandit vs Vigilante,Niger
357,IBD031672,2025-04-02,2025-04-02,1,Domestic Violence,Bayelsa
358,IBD031698,2025-04-02,2025-04-02,2,Boko Haram Explosion,Borno
359,IBD031676,2025-04-02,2025-04-02,6,Herdsmen vs Hunters,Benue
