Identifier,Title,Start date,End date,Number of deaths
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",19/03/2025,19/03/2025,10
IBD031975,"Herders vs Farmers, Ondo",19/03/2025,19/03/2025,10
IBD031970,"Auto Crash, Rivers",18/03/2025,18/03/2025,1
IBD031993,"NAF vs Boko Haram, Borno",18/03/2025,18/03/2025,25
IBD031978,"Rainstorm Kill 1, Ogun",18/03/2025,18/03/2025,1
IBD031974,"Army vs Terrorist, Zamfara",18/03/2025,18/03/2025,7
IBD031977,Police vs Gunmen Benue,18/03/2025,19/03/2025,12
IBD031969,"Communal Clash, Ebonyi",17/03/2025,17/03/2025,2
IBD031973,"Army vs Terrorist, Katsina",17/03/2025,17/03/2025,3
IBD031991,"NAF vs Boko Haram, Borno",17/03/2025,17/03/2025,10
IBD031988,"Lawyer vs Student, Imo",17/03/2025,17/03/2025,1
IBD032003,"Electrocution, Lagos",17/03/2025,17/03/2025,1
IBD031976,"Herdsmen Attack, Benue",17/03/2025,17/03/2025,2
IBD032036,"NAF vs Terrorists, Borno",16/03/2025,16/03/2025,40
IBD032005,"Explosion, Rivers",16/03/2025,16/03/2025,1
IBD031955,"Auto Crash, Imo",16/03/2025,16/03/2025,7
IBD031997,"Boy Suffocates, Lagos",16/03/2025,16/03/2025,1
IBD032015,"Domestic Violence, Edo",16/03/2025,16/03/2025,2
IBD031952,"Armed Robbers vs Watchman, Katsina",16/03/2025,16/03/2025,1
IBD032023,"Auto Crash, Kaduna",16/03/2025,16/03/2025,2
IBD031959,"Gunmen vs Fulani Leader, Kwara",16/03/2025,16/03/2025,1
IBD015011,"Mob Attack, Lagos",15/03/2025,15/03/2025,1
IBD031949,"Auto Crash, Anambra",15/03/2025,15/03/2025,6
IBD031958,"Assailants vs Bride, Jigawa",15/03/2025,15/03/2025,1
IBD031950,"Army vs Bandits, Katsina",15/03/2025,15/03/2025,12
IBD031953,"Army vs Bandits, Katsina",15/03/2025,15/03/2025,12
IBD032022,"Mob vs Armed Robber, Lagos",15/03/2025,15/03/2025,1
IBD031942,"Communal Clash, Cross River",15/03/2025,15/03/2025,2
IBD031965,"Cult Clash, Ogun",15/03/2025,15/03/2025,4
IBD031945,"Police vs Kidnappers, Abia",14/03/2025,14/03/2025,6
IBD031967,"Gunmen vs Herders, Enugu",14/03/2025,14/03/2025,5
IBD031946,"Police vs Kidnapper, Nasarawa",14/03/2025,14/03/2025,1
IBD031948,"Drowns, Rivers",14/03/2025,14/03/2025,1
IBD031968,"Domestic Violence, Abia",14/03/2025,14/03/2025,1
IBD031943,"NAF vs Bandit, Katsina",13/03/2025,13/03/2025,22
IBD031944,"Catholic Seminarian, Edo",13/03/2025,13/03/2025,1
IBD031956,"Farmer, Benue",12/03/2025,12/03/2025,1
IBD031947,"Soldiers vs Kidnappers, Plateau",12/03/2025,12/03/2025,2
IBD031938,"Auto Crash, Edo",12/03/2025,12/03/2025,1
IBD031954,"Vigilantes, FCT (Abuja)",11/03/2025,11/03/2025,2
IBD032024,"Kidnappers vs Village Head, Kaduna",11/03/2025,11/03/2025,1
IBD031929,"Auto Crash/Explosion, Lagos",11/03/2025,11/03/2025,3
IBD031928,"Herders Attack, Benue",11/03/2025,11/03/2025,4
IBD031937,"Army vs Terrorist, Kaduna",11/03/2025,11/03/2025,3
IBD031957,"Bandits vs Worshippers, Nasarawa",10/03/2025,10/03/2025,3
IBD031909,"Domestic Violence, Akwa Ibom",10/03/2025,10/03/2025,1
IBD031924,"Extrajudicial Killing, Niger",10/03/2025,10/03/2025,1
IBD031927,"Extrajudicial Killing, Niger",10/03/2025,10/03/2025,1
IBD031904,"Auxiliary Nurse , Delta",10/03/2025,10/03/2025,1
IBD031926,"Extrajudicial Killings, Niger",10/03/2025,10/03/2025,1
IBD031916,"Police vs Kidnappers, Akwa Ibom",10/03/2025,10/03/2025,1
IBD031925,"Farmers vs Herders, Nasarawa",10/03/2025,10/03/2025,11
IBD031930,"Assailant vs Man, Lagos",10/03/2025,10/03/2025,1
IBD031961,"Police vs Kidnappers, Delta",09/03/2025,09/03/2025,4
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",09/03/2025,09/03/2025,13
IBD031910,"Suspected Herders Kill 20, Ondo",09/03/2025,09/03/2025,17
IBD031915,"Customs Operavtives vs Smugglers, Ogun",09/03/2025,09/03/2025,1
IBD031912,"Auto Crash, Edo",09/03/2025,09/03/2025,8
IBD031917,"Auto Crash, Ogun",09/03/2025,09/03/2025,4
IBD031923,"Auto Crash, FCT (Abuja)",09/03/2025,09/03/2025,1
IBD031921,"Kidnappers vs Woman, Kaduna",09/03/2025,09/03/2025,1
IBD031934,"Murder, Niger",08/03/2025,08/03/2025,1
IBD031935,"Drown, Niger",08/03/2025,08/03/2025,1
IBD031919,"Palm Tree Kills Man, Ogun",08/03/2025,08/03/2025,1
IBD031906,"Fight, Lagos",08/03/2025,08/03/2025,1
IBD031922,"Man vs Friend, FCT (Abuja)",08/03/2025,08/03/2025,1
IBD031905,"Cultist vs DJ, Lagos",08/03/2025,08/03/2025,1
IBD031931,"Boko Haram vs Vigilante, Yobe",08/03/2025,08/03/2025,1
IBD031914,"Gunmen vs APC Council Chairman, Lagos",08/03/2025,08/03/2025,1
IBD031900,"Communal Clash, Niger",08/03/2025,08/03/2025,1
IBD031897,"Miyetti Allah Chairman, Kwara",08/03/2025,08/03/2025,1
IBD031951,"Boy Beheaded, Adamawa",07/03/2025,07/03/2025,1
IBD031932,"Herdsmen Attack, Kogi",07/03/2025,07/03/2025,2
IBD031899,"Auto Crash, Abia",07/03/2025,07/03/2025,5
IBD031898,"Ritual Killing, Edo",07/03/2025,07/03/2025,1
IBD031902,"Herdsmen Attack, Benue",07/03/2025,08/03/2025,15
IBD031885,"Medical Negligence, Benue",06/03/2025,06/03/2025,5
IBD031876,"Electrocution, Ogun",06/03/2025,06/03/2025,1
IBD031940,"Domestic Violence, Ogun",06/03/2025,06/03/2025,1
IBD031895,"Security Operatives vs Terrorist, Kebbi",06/03/2025,06/03/2025,1
IBD031882,"Building Collapse, Lagos",05/03/2025,05/03/2025,3
IBD031891,"Security Operatives vs Bandits, Zamfara",05/03/2025,05/03/2025,12
IBD031892,"Auto Crash/ Explosion, Niger",05/03/2025,05/03/2025,7
IBD031998,"Drowns, FCT (Abuja)",05/03/2025,05/03/2025,1
IBD031880,"Gunmen vs Cleric, Kaduna",05/03/2025,05/03/2025,1
IBD031894,"Auto Crash, Bayelsa",05/03/2025,05/03/2025,2
IBD031871,"Explosion, Oyo",04/03/2025,04/03/2025,2
IBD032053,"Auto Crash, Lagos",04/03/2025,04/03/2025,1
IBD031869,"Police vs Herder, Edo",04/03/2025,04/03/2025,1
IBD031870,"Auto Crash, Ogun",04/03/2025,04/03/2025,17
IBD031865,"Gunmen Attack, Abia",04/03/2025,04/03/2025,2
IBD031881,"Auto Crash, Anambra",04/03/2025,04/03/2025,10
IBD031848,"Bridge Collapse, Akwa Ibom",04/03/2025,04/03/2025,4
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",04/03/2025,04/03/2025,1
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",04/03/2025,04/03/2025,1
IBD031884,"Police vs Kidnappers, FCT (Abuja)",04/03/2025,04/03/2025,14
IBD031879,"Auto Crash, Kogi",03/03/2025,03/03/2025,4
IBD031877,"Gunmen Attack, Benue",03/03/2025,03/03/2025,2
IBD031890,"Boko Harm Kill Police Officer Children, Borno",03/03/2025,03/03/2025,2
IBD031868,Gunmen vs Site Engineer Edo,03/03/2025,03/03/2025,1
IBD031867,"Drown, FCT (Abuja)",03/03/2025,03/03/2025,1
IBD031893,"Assailant vs Man, Ogun",03/03/2025,03/03/2025,1
IBD031936,"Bandit Leader, FCT (Abuja)",03/03/2025,03/03/2025,1
IBD031941,"Woman Killed, Bauchi",02/03/2025,02/03/2025,1
IBD031888,"Herders Kill Man, FCT (Abuja)",02/03/2025,02/03/2025,1
IBD031858,"Gunmen Kill One, Gombe",02/03/2025,02/03/2025,1
IBD031874,"Community leader Killed, Anambra",02/03/2025,02/03/2025,1
IBD031866,"Teenager, Ogun",02/03/2025,02/03/2025,1
IBD031861,"Herdsmen vs Vigilante, Delta",02/03/2025,02/03/2025,1
IBD031883,"Drug Addict Kill Phone Charger, Ogun",01/03/2025,01/03/2025,1
IBD031853,"Domestic Violence, Bauchi",01/03/2025,01/03/2025,1
IBD031854,"Herdsmen vs Farmers, Benue",01/03/2025,01/03/2025,6
IBD031939,"Policeman vs Okada Riders, Plateau",01/03/2025,01/03/2025,1
IBD031659,"Police vs Kidnappers, Kwara",01/03/2025,01/03/2025,2
IBD031855,"Gunmen vs Businessman, Ondo",01/03/2025,01/03/2025,1
IBD031913,"Female Corpses, Delta",01/03/2025,01/03/2025,2
IBD031852,"Auto Crash, Edo",01/03/2025,01/03/2025,12
IBD031857,"Gunmen vs Man, Zamafara",01/03/2025,01/03/2025,1
IBD031864,"Soldiers vs Boko Haram, Borno",01/03/2025,01/03/2025,15
IBD031860,"Cult Clash, Delta",28/02/2025,28/02/2025,2
IBD032001,"Inferno, Yobe",28/02/2025,28/02/2025,1
IBD031856,"Herdsmen Attack, Delta",28/02/2025,28/02/2025,1
IBD031808,"Auto Crash, Kwara",28/02/2025,28/02/2025,1
IBD031887,"Domestic Violence, Bauchi",28/02/2025,28/02/2025,1
IBD031862,"Banditry, Zamfara",27/02/2025,27/02/2025,2
IBD031839,"Auto Crash, Enugu",27/02/2025,27/02/2025,6
IBD031846,"Herdsmen Attack, Edo",27/02/2025,27/02/2025,2
IBD031851,"Banditry, Katsina",27/02/2025,27/02/2025,17
IBD031847,"Soldier Kill Man, Akwa Ibom",27/02/2025,27/02/2025,1
IBD031886,"Gunmen Attack, Ogun",27/02/2025,27/02/2025,1
IBD031901,"Domestic Violence, Lagos",26/02/2025,26/02/2025,1
IBD031850,"Bandits vs Farmers, Niger",26/02/2025,26/02/2025,10
IBD031844,"Cult Attack, Bayelsa",26/02/2025,26/02/2025,1
IBD031837,"Boko Haram Attack, Borno",26/02/2025,26/02/2025,7
IBD031843,"NAF Officer Kill Man, Kaduna",26/02/2025,26/02/2025,1
IBD031840,"Land Dispute, Delta",26/02/2025,26/02/2025,1
IBD031834,"Boko Haram Attack, Adamawa",25/02/2025,26/02/2025,40
IBD031822,"Kidnappers Kill Hunter, Oyo",25/02/2025,25/02/2025,1
IBD031838,"Boko Haram/ISWAP Landmine Kills 2, Borno",25/02/2025,25/02/2025,2
IBD031833,"Kidnappers vs Police Officers, Plateau",25/02/2025,25/02/2025,2
IBD031826,"Auto Crash, Yobe",25/02/2025,25/02/2025,10
IBD031828,"Auto Crash, Sokoto",25/02/2025,25/02/2025,3
IBD031812,"Auto Crash, Ogun",24/02/2025,24/02/2025,9
IBD031824,"Auto Crash, Lagos",24/02/2025,24/02/2025,2
IBD031830,"Boat Mishap, Delta",24/02/2025,24/02/2025,5
IBD031823,"Domestic Violence, Bauchi",24/02/2025,24/02/2025,1
IBD031842,"Auto Crash, Ogun",24/02/2025,24/02/2025,1
IBD031832,"Auto Crash, Bauchi",24/02/2025,24/02/2025,2
IBD031821,"Auto Crash, Lagos",24/02/2025,24/02/2025,1
IBD031845,"Police Kill Man, Enugu",24/02/2025,24/02/2025,1
IBD031836,"Herdsmen vs Vigilante Commander, Edo",24/02/2025,24/02/2025,1
IBD031813,"Herders vs Farmers, Edo",24/02/2025,24/02/2025,2
IBD031875,"Domestic Violence, Bauchi",24/02/2025,24/02/2025,1
IBD031820,"Security Operatives vs Artisan, Edo",23/02/2025,23/02/2025,1
IBD031819,"Security Operatives Kills 1, Katsina",23/02/2025,23/02/2025,1
IBD031816,"Man vs Friend, Niger",23/02/2025,23/02/2025,1
IBD031907,"Revenue Collector vs Truck Driver, Edo",23/02/2025,23/02/2025,1
IBD031825,"Auto Crash, Oyo",23/02/2025,23/02/2025,2
IBD031817,"Student Drowns, Bayelsa",23/02/2025,23/02/2025,1
IBD031841,"Fish Poison, Taraba",22/02/2025,22/02/2025,4
IBD031800,"Man Drowns, Ogun",22/02/2025,22/02/2025,1
IBD031806,"NAF Kill Bandits, Zamfara",22/02/2025,22/02/2025,23
IBD031804,"Car Accident, Jigawa",22/02/2025,22/02/2025,4
IBD031835,"Ritual Killing, Edo",22/02/2025,22/02/2025,1
IBD031799,"Auto Crash, Delta",22/02/2025,22/02/2025,1
IBD031803,"Farmer, Ogun",22/02/2025,22/02/2025,1
IBD031796,"Domestic Violence, Edo",22/02/2025,22/02/2025,1
IBD031795,"Witchcraft Suspect, Borno",21/02/2025,21/02/2025,1
IBD031814,"Banditry, Kaduna",21/02/2025,21/02/2025,1
IBD031798,"Auto Crash, Niger",21/02/2025,21/02/2025,13
IBD031810,"Motorcycle Thief, FCT (Abuja)",21/02/2025,21/02/2025,1
IBD031805,"Boy Drowns, Ogun",21/02/2025,21/02/2025,1
IBD031863,"Kidnappers Kills 1, Zamfara",21/02/2025,21/02/2025,1
IBD031818,"Domestic Violence, Lagos",21/02/2025,21/02/2025,1
IBD031827,"Security Operatives vs Bandits, Katsina",21/02/2025,21/02/2025,4
IBD031797,"Communal Clash, Edo",20/02/2025,21/02/2025,12
IBD031793,"Building Collapse, Yobe",20/02/2025,20/02/2025,1
IBD031802,"Banditry, Niger",20/02/2025,20/02/2025,4
IBD031794,"Police vs Kidnappers, Ogun",20/02/2025,20/02/2025,4
IBD031792,"Fallen Mast, Edo",20/02/2025,20/02/2025,1
IBD031786,"Banditry, Niger",19/02/2025,19/02/2025,1
IBD031811,"Ritual/Domestic Violence, Abia",19/02/2025,19/02/2025,3
IBD031785,"Explosion, Zamfara",18/02/2025,18/02/2025,3
IBD031768,"Domestic Violence, Ekiti",18/02/2025,18/02/2025,2
IBD031782,"Banditry, Zamfara",18/02/2025,18/02/2025,1
IBD031783,"Kidnappers Attack, FCT (Abuja)",18/02/2025,18/02/2025,2
IBD031769,"Communal Clash, Ebonyi",18/02/2025,18/02/2025,1
IBD031759,"Political Crisis, Osun",17/02/2025,17/02/2025,1
IBD031757,"Political Crisis, Osun",17/02/2025,17/02/2025,2
IBD031758,"Political Crisis, Osun",17/02/2025,17/02/2025,2
IBD031781,"Army vs Boko Haram, Borno",17/02/2025,17/02/2025,10
IBD031778,"Assailants vs Student, Ondo",17/02/2025,17/02/2025,1
IBD031753,"Gunmen Attack, Benue",17/02/2025,17/02/2025,3
IBD031755,"Cult Clash, Delta",17/02/2025,17/02/2025,1
IBD031771,"Auto Crash, Ogun",16/02/2025,16/02/2025,1
IBD031763,"Hoodlums vs Motorcyclist, FCT (Abuja)",16/02/2025,16/02/2025,1
IBD031878,"Extrajudicial Killing, Ondo",16/02/2025,16/02/2025,1
IBD031756,"Inferno, Ondo",16/02/2025,16/02/2025,3
IBD031760,"Auto Crash, Imo",16/02/2025,16/02/2025,8
IBD031766,"Ritual Killing, Ogun",16/02/2025,16/02/2025,1
IBD031742,"Security Operatives vs Armed Robber, Ogun",16/02/2025,16/02/2025,1
IBD031761,"Auto Crash, Kogi",16/02/2025,16/02/2025,7
IBD031770,"Kidnappers Attack, Imo",16/02/2025,16/02/2025,1
IBD031772,"Auto Crash, Delta",16/02/2025,16/02/2025,17
IBD031767,"Security Operatives vs Student, Kaduna",16/02/2025,16/02/2025,1
IBD031743,"Mysterious Death, Ogun",15/02/2025,15/02/2025,1
IBD031749,"Gunmen Attack, Kwara",15/02/2025,15/02/2025,1
IBD031751,"Kidnapers vs Health Worker, Ondo",15/02/2025,15/02/2025,1
IBD031745,"Mob vs Robbers, FCT (Abuja)",15/02/2025,15/02/2025,2
IBD031752,"Herdsmen vs Farmers, Benue",15/02/2025,15/02/2025,22
IBD031750,"Mob vs NDLEA Officer/ Auto Crash, Kaduna",15/02/2025,15/02/2025,4
IBD031849,"Friends Murder Man, Lagos",15/02/2025,15/02/2025,1
IBD031744,"Corpse Found, Kano",15/02/2025,15/02/2025,1
IBD031748,"Army vs Villagers, Katsina",15/02/2025,15/02/2025,10
IBD031920,"Domestic Violence, Cross River",15/02/2025,15/02/2025,1
IBD031960,"Fire Incidents, Kano",15/02/2025,15/02/2025,7
IBD031737,"Police vs Kidnappers, Kebbi",14/02/2025,14/02/2025,4
IBD031859,"Domestic Violence, Ondo",14/02/2025,14/02/2025,1
IBD031740,"Assailant vs Traditional Ruler, Abia",14/02/2025,14/02/2025,1
IBD031736,"Auto Crash, Anambra",14/02/2025,14/02/2025,8
IBD031765,"Cult Clash, Lagos",14/02/2025,15/02/2025,2
IBD031746,"Extrajudicial Killing, Ondo",14/02/2025,14/02/2025,1
IBD031732,"Kidnappers Set Ablaze, Delta",13/02/2025,13/02/2025,2
IBD031733,"Auto Crash, Ogun",13/02/2025,13/02/2025,1
IBD031764,"Cult Clash, Ogun",13/02/2025,13/02/2025,1
IBD031780,"Man vs Friend, FCT (Abuja)",13/02/2025,13/02/2025,1
IBD031779,"Extrajudicial Killing, Delta",13/02/2025,13/02/2025,2
IBD031734,"Auto Crash, Kano",13/02/2025,13/02/2025,23
IBD031727,"Auto Crash, bauchi",12/02/2025,12/02/2025,1
IBD031728,"Police vs Armed Robbers, FCT (Abuja)",12/02/2025,12/02/2025,3
IBD031741,"Extrajudicial Killing, Lagos",12/02/2025,12/02/2025,1
IBD031729,"Stab to Death, Rivers",12/02/2025,12/02/2025,1
IBD031829,"Kidnappers Kill Two, Kogi",12/02/2025,12/02/2025,2
IBD031807,"Extrajudicial Killing, Benue",11/02/2025,11/02/2025,1
IBD031713,"Mob vs Thief, Akwa Ibom",11/02/2025,11/02/2025,1
IBD031726,"Auto Crash, Taraba",11/02/2025,11/02/2025,3
IBD031738,"Ritual Killing, Kwara",11/02/2025,11/02/2025,1
IBD031717,"Bandits vs Traders, Katsina",10/02/2025,10/02/2025,1
IBD031714,"Communal Clash, Akwa Ibom",10/02/2025,10/02/2025,1
IBD031762,"Kidnap Victim, FCT (Abuja)",10/02/2025,10/02/2025,1
IBD031709,"Auto Crash, Niger",10/02/2025,10/02/2025,1
IBD031720,"Assailants vs Girl, Ekiti",10/02/2025,10/02/2025,1
IBD031721,"Student Drowns, Benue",10/02/2025,10/02/2025,1
IBD031719,"Gunmen vs Police Officer, Yobe",09/02/2025,09/02/2025,2
IBD031705,"Gunmen Kill Pastor, Gombe",09/02/2025,09/02/2025,1
IBD031708,"Auto Crash, Jigawa",09/02/2025,09/02/2025,5
IBD031704,"Communal Clash, Abia",09/02/2025,09/02/2025,1
IBD031690,"Police Kill Man, Rivers",09/02/2025,09/02/2025,1
IBD031747,"Police vs IPOB/ESN, Imo",09/02/2025,09/02/2025,3
IBD031706,"Herdsmen Kill Girl, Ekiti",09/02/2025,09/02/2025,1
IBD031703,"Troops vs Bandits, Zamfara",09/02/2025,09/02/2025,4
IBD031692,"Cult Clash, Rivers",09/02/2025,09/02/2025,20
IBD031701,"Communal Clash, Cross RIvers",09/02/2025,09/02/2025,4
IBD031702,"Burglars vs Woman, Delta",09/02/2025,09/02/2025,1
IBD031693,"Banditry, Sokoto",09/02/2025,09/02/2025,1
IBD031694,"Cult Clash, Benue",09/02/2025,09/02/2025,4
IBD031707,"Student Dies, Lagos",08/02/2025,08/02/2025,1
IBD031697,"Auto Crash, Kwara",08/02/2025,08/02/2025,1
IBD031754,Police vs IPOB/ESN Imo,08/02/2025,08/02/2025,2
IBD031731,"Cult Clashes, Abia",07/02/2025,14/02/2025,3
IBD031723,"Extrajudicial Killing, Enugu",07/02/2025,07/02/2025,1
IBD031680,"Drowns/Mysterious Death, Ondo",07/02/2025,07/02/2025,1
IBD031689,"Soldiers vs Bandits, Zamfara",07/02/2025,07/02/2025,44
IBD031686,"Domestic Violence, Anambra",07/02/2025,07/02/2025,1
IBD031710,"Assailants vs Uber Driver, Lagos",07/02/2025,07/02/2025,1
IBD031716,"Bandits vs Traders, Katsina",07/02/2025,07/02/2025,12
IBD031715,"Teacher vs Student, Delta",06/02/2025,06/02/2025,1
IBD031963,"Domestic Violence, Akwa Ibom",06/02/2025,06/02/2025,1
IBD031674,"Cult Clash, Rivers",06/02/2025,06/02/2025,7
IBD031675,"Gunmen Attack, Katsina",06/02/2025,06/02/2025,1
IBD031684,"Lakurawa Kill 1, Kebbi",06/02/2025,06/02/2025,1
IBD031730,"Cult Clashes, Abia",06/02/2025,13/02/2025,2
IBD031790,"Stray Bullet, Delta",06/02/2025,06/02/2025,1
IBD031685,"Troops vs Bandits, Zamfara",06/02/2025,06/02/2025,4
IBD031711,"Domestic Violence, Akwa Ibom",06/02/2025,06/02/2025,1
IBD031679,"Woman vs Neighbour, Rivers",06/02/2025,06/02/2025,1
IBD031687,"Domestic Violence, Akwa Ibom",06/02/2025,06/02/2025,1
IBD031683,"Bandits Attack, Katsina",06/02/2025,06/02/2025,2
IBD031696,"Student vs Colleague, Nasarawa",06/02/2025,06/02/2025,1
IBD031962,"Domestic Violence, Akwa Ibom",06/02/2025,06/02/2025,1
IBD031664,"Inferno, Zamfara",05/02/2025,05/02/2025,17
IBD031695,"Auto Crash, Lagos",05/02/2025,05/02/2025,1
IBD031700,"Domestic Violence, Kano",05/02/2025,05/02/2025,1
IBD031663,"Man vs Trader, FCT (Abuja)",05/02/2025,05/02/2025,1
IBD031725,"Bandit vs Vigilante, Niger",05/02/2025,05/02/2025,1
IBD031672,"Domestic Violence, Bayelsa",04/02/2025,04/02/2025,1
IBD031698,"Boko Haram Explosion, Borno",04/02/2025,04/02/2025,2
IBD031676,"Herdsmen vs Hunters, Benue",04/02/2025,04/02/2025,6
IBD031678,"Auto Crash, Ogun",04/02/2025,04/02/2025,3
IBD031652,"Troops vs Boko Haram/ISWAP, Borno",04/02/2025,04/02/2025,7
IBD031677,"Security Operative vs Bolt Driver, Edo",04/02/2025,04/02/2025,1
IBD031670,"Police vs Bandits, Bauchi",04/02/2025,04/02/2025,2
IBD031668,"Auto Crash, Ogun",04/02/2025,04/02/2025,1
IBD031649,"Auto Crash, Niger",03/02/2025,03/02/2025,4
IBD031682,"Domestic Violence, Niger",03/02/2025,03/02/2025,1
IBD031661,"Auto Crash, Ogun",03/02/2025,03/02/2025,1
IBD031699,"Corpse Found, FCT (Abuja)",03/02/2025,03/02/2025,1
IBD031666,"Gunmen Attack, Lagos",03/02/2025,04/02/2025,2
